dataset;idtweets;date;time;city
mexico_hacer_peri;x1460036337143275522;15/11/2021;0:06:03;México
aires_hacer_peri;x1460036377433755652;15/11/2021;0:06:13;Buenos Aires
aires_ser_peri;x1460036394886344704;15/11/2021;0:06:17;Buenos Aires
santiago_ser_morf;x1460036424695042048;15/11/2021;0:06:24;Santiago
aires_ser_peri;x1460036509759901696;15/11/2021;0:06:44;Buenos Aires
aires_hacer_peri;x1460036509759901696;15/11/2021;0:06:44;Buenos Aires
lima_ser_morf;x1460036539392708619;15/11/2021;0:06:51;Lima
aires_ir_morf;x1460036547521265665;15/11/2021;0:06:53;Buenos Aires
mexico_ser_morf;x1460036564659044355;15/11/2021;0:06:57;México
madrid_tener_morf;x1460036565032488962;15/11/2021;0:06:57;Madrid
caracas_ser_morf;x1460036604215627782;15/11/2021;0:07:07;Caracas
caracas_hacer_morf;x1460036610301562882;15/11/2021;0:07:08;Caracas
aires_ser_morf;x1460036611484401664;15/11/2021;0:07:09;Buenos Aires
caracas_ser_morf;x1460036614256742400;15/11/2021;0:07:09;Caracas
aires_ir_peri;x1460036649790971916;15/11/2021;0:07:18;Buenos Aires
santiago_ser_peri;x1460036649845411842;15/11/2021;0:07:18;Santiago
caracas_ser_morf;x1460036650055180297;15/11/2021;0:07:18;Caracas
santiago_tener_peri;x1460036664470872068;15/11/2021;0:07:21;Santiago
caracas_ser_peri;x1460036692866437126;15/11/2021;0:07:28;Caracas
mexico_hacer_morf;x1460036707726901259;15/11/2021;0:07:31;México
aires_ser_morf;x1460036725627973636;15/11/2021;0:07:36;Buenos Aires
aires_hacer_peri;x1460036751997743106;15/11/2021;0:07:42;Buenos Aires
aires_ser_morf;x1460036758784167944;15/11/2021;0:07:44;Buenos Aires
aires_ser_morf;x1460036827428098048;15/11/2021;0:08:00;Buenos Aires
aires_hacer_peri;x1460036882432155652;15/11/2021;0:08:13;Buenos Aires
aires_tener_morf;x1460036889306669059;15/11/2021;0:08:15;Buenos Aires
santiago_ser_morf;x1460036920675872775;15/11/2021;0:08:22;Santiago
santiago_ser_peri;x1460036925218504704;15/11/2021;0:08:23;Santiago
lima_ser_morf;x1460036959766814722;15/11/2021;0:08:32;Lima
mexico_ser_peri;x1460036975847690243;15/11/2021;0:08:35;México
aires_ser_morf;x1460037011277062144;15/11/2021;0:08:44;Buenos Aires
lima_hacer_morf;x1460037045104041991;15/11/2021;0:08:52;Lima
aires_tener_peri;x1460037086514454529;15/11/2021;0:09:02;Buenos Aires
caracas_ser_morf;x1460037089261670401;15/11/2021;0:09:02;Caracas
aires_tener_morf;x1460037117028061185;15/11/2021;0:09:09;Buenos Aires
